Segment,Frequency,Structure,ConVo
ɪ,1029,V,V
s,816,S,C
ɐ,668,V,V
tʲ,562,T,C
k,381,T,C
ʊ,286,V,V
p,285,T,C
r,284,R,C
t,266,T,C
lˠ,254,R,C
n,248,R,C
ɛ,213,V,V
eː,213,V,V
d,195,T,C
g,187,T,C
iː,183,V,V
ʃ,170,S,C
m,162,R,C
ʋ,157,R,C
ə,132,V,V
oː,95,V,V
b,93,T,C
aˑ,93,V,V
j,91,R,C
ʒ,87,S,C
i,86,V,V
ɐɪˑ,83,V,V
ɑ,82,V,V
a,73,V,V
lʲ,63,R,C
rʲ,58,R,C
rˑ,57,R,C
o,56,V,V
nʲ,50,R,C
uː,50,V,V
sʲ,47,S,C
dʲ,47,T,C
ɒʊˑ,47,V,V
u,45,V,V
nˑ,43,R,C
ʋʲ,41,R,C
kʲ,40,T,C
ʒʲ,35,S,C
ɛɪˑ,33,V,V
gʲ,32,T,C
eˑ,30,V,V
ʃʲ,28,S,C
tʃʲ,24,X,C
uə,23,V,V
mʲ,20,R,C
pʲ,20,T,C
lˠˑ,18,R,C
+,16,X,X
bʲ,15,T,C
z,13,S,C
mˑ,9,R,C
ɛʊˑ,8,V,V
æː,8,V,V
ɑː,7,V,V
æˑ,6,V,V
ɪuː,4,V,V
ʊɪˑ,2,V,V
ò,1,V,V
fʲ,1,X,C
f,1,X,C
ɪu,1,V,V
